"nom","prénom","groupe","rattachement_parti","sexe","département","id_nossenateurs","url_institution"
"PRINTZ","Gisèle","SOC","Parti socialiste","F","Moselle","gisele-printz","http://www.senat.fr/senateur/printz_gisele96007g.html"
"PROCACCIA","Catherine","UMP","Union pour un Mouvement Populaire","F","Val-de-Marne","catherine-procaccia","http://www.senat.fr/senateur/procaccia_catherine04043d.html"
"RAFFARIN","Jean-Pierre","UMP","Union pour un Mouvement Populaire","H","Vienne","jean-pierre-raffarin","http://www.senat.fr/senateur/raffarin_jean_pierre95059q.html"
"RAINAUD","Marcel","SOC","Parti socialiste","H","Aude","marcel-rainaud","http://www.senat.fr/senateur/rainaud_marcel06005f.html"
"de RAINCOURT","Henri","UMP","Union pour un Mouvement Populaire","H","Yonne","henri-de-raincourt","http://www.senat.fr/senateur/de_raincourt_henri86044g.html"
"RAOUL","Daniel","SOC","Parti socialiste","H","Maine-et-Loire","daniel-raoul","http://www.senat.fr/senateur/raoul_daniel01016m.html"
"REBSAMEN","François","SOC","Parti socialiste","H","Côte-d'Or","francois-rebsamen","http://www.senat.fr/senateur/rebsamen_francois08070y.html"
"REICHARDT","André","UMP","Union pour un Mouvement Populaire","H","Bas-Rhin","andre-reichardt","http://www.senat.fr/senateur/reichardt_andre10015m.html"
"REINER","Daniel","SOC","Parti socialiste","H","Meurthe-et-Moselle","daniel-reiner","http://www.senat.fr/senateur/reiner_daniel01014k.html"
"REQUIER","Jean-Claude","RDSE","Parti radical de gauche","H","Lot","jean-claude-requier","http://www.senat.fr/senateur/requier_jean_claude11012a.html"
"RETAILLEAU","Bruno","UMP","Union pour un Mouvement Populaire","H","Vendée","bruno-retailleau","http://www.senat.fr/senateur/retailleau_bruno04033b.html"
"REVET","Charles","UMP","Union pour un Mouvement Populaire","H","Seine-Maritime","charles-revet","http://www.senat.fr/senateur/revet_charles95062k.html"
"RICHARD","Alain","SOC","Parti socialiste","H","Val-d'Oise","alain-richard","http://www.senat.fr/senateur/richard_alain95063l.html"
"RIES","Roland","SOC","Parti socialiste","H","Bas-Rhin","roland-ries","http://www.senat.fr/senateur/ries_roland04065k.html"
"ROCHE","Gérard","UDI-UC","Union des radicaux, centristes, indépendants et démocrates","H","Haute-Loire","gerard-roche","http://www.senat.fr/senateur/roche_gerard11093t.html"
"ROGER","Gilbert","SOC","Parti socialiste","H","Seine-Saint-Denis","gilbert-roger","http://www.senat.fr/senateur/roger_gilbert11054l.html"
"ROME","Yves","SOC","Parti socialiste","H","Oise","yves-rome","http://www.senat.fr/senateur/rome_yves11046l.html"
"ROSSIGNOL","Laurence","SOC","Parti socialiste","F","Oise","laurence-rossignol","http://www.senat.fr/senateur/rossignol_laurence11045k.html"
"SAUGEY","Bernard","UMP","Union pour un Mouvement Populaire","H","Isère","bernard-saugey","http://www.senat.fr/senateur/saugey_bernard01019q.html"
"SAVARY","René-Paul","UMP","Union pour un Mouvement Populaire","H","Marne","rene-paul-savary","http://www.senat.fr/senateur/savary_rene_paul11097x.html"
"SAVIN","Michel","UMP","Union pour un Mouvement Populaire","H","Isère","michel-savin","http://www.senat.fr/senateur/savin_michel11043h.html"
"SCHILLINGER","Patricia","SOC","Parti socialiste","F","Haut-Rhin","patricia-schillinger","http://www.senat.fr/senateur/schillinger_patricia04045f.html"
"SCHURCH","Mireille","CRC","Parti communiste Français","F","Allier","mireille-schurch","http://www.senat.fr/senateur/schurch_mireille08054y.html"
"SIDO","Bruno","UMP","Union pour un Mouvement Populaire","H","Haute-Marne","bruno-sido","http://www.senat.fr/senateur/sido_bruno01058x.html"
"SITTLER","Esther","UMP","Union pour un Mouvement Populaire","F","Bas-Rhin","esther-sittler","http://www.senat.fr/senateur/sittler_esther04069p.html"
"SOILIHI","Abdourahamane","UMP","Union pour un Mouvement Populaire","H","Mayotte","abdourahamane-soilihi","http://www.senat.fr/senateur/soilihi_abdourahamane11071m.html"
"SUEUR","Jean-Pierre","SOC","Parti socialiste","H","Loiret","jean-pierre-sueur","http://www.senat.fr/senateur/sueur_jean_pierre01028r.html"
"SUTOUR","Simon","SOC","Parti socialiste","H","Gard","simon-sutour","http://www.senat.fr/senateur/sutour_simon98035u.html"
"TANDONNET","Henri","UDI-UC","Union des radicaux, centristes, indépendants et démocrates","H","Lot-et-Garonne","henri-tandonnet","http://www.senat.fr/senateur/tandonnet_henri11094u.html"
"TASCA","Catherine","SOC","Parti socialiste","F","Yvelines","catherine-tasca","http://www.senat.fr/senateur/tasca_catherine04056j.html"
"TESTON","Michel","SOC","Parti socialiste","H","Ardèche","michel-teston","http://www.senat.fr/senateur/teston_michel98037w.html"
"TEULADE","René","SOC","Parti socialiste","H","Corrèze","rene-teulade","http://www.senat.fr/senateur/teulade_rene08046y.html"
"TODESCHINI","Jean-Marc","SOC","Parti socialiste","H","Moselle","jean-marc-todeschini","http://www.senat.fr/senateur/todeschini_jean_marc01062t.html"
"TRILLARD","André","UMP","Union pour un Mouvement Populaire","H","Loire-Atlantique","andre-trillard","http://www.senat.fr/senateur/trillard_andre01056v.html"
"TROENDLE","Catherine","UMP","Union pour un Mouvement Populaire","F","Haut-Rhin","catherine-troendle","http://www.senat.fr/senateur/troendle_catherine04044e.html"
"TROPEANO","Robert","RDSE","Parti radical de gauche","H","Hérault","robert-tropeano","http://www.senat.fr/senateur/tropeano_robert06004e.html"
"TRUCY","François","UMP","Union pour un Mouvement Populaire","H","Var","francois-trucy","http://www.senat.fr/senateur/trucy_francois86049m.html"
"TUHEIAVA","Richard","SOC","Front de libération de la Polynésie - Tavini Huiraatira no te ao ma'ohi","H","Polynésie-française","richard-tuheiava","http://www.senat.fr/senateur/tuheiava_richard08071a.html"
"TÜRK","Alex","NI","Debout la République","H","Nord","alex-turk","http://www.senat.fr/senateur/turk_alex92044u.html"
